human.symbol	rat.symbol	mouse.symbol	human.go.annotation	mouse.go.annotation	rat.go.annotation
DRD2	Drd2	Drd2	dopamine neurotransmitter receptor activity, coupled via Gi/Go	dopamine neurotransmitter receptor activity, coupled via Gi/Go; dopamine neurotransmitter receptor activity, coupled via Gi/Go; dopamine neurotransmitter receptor activity; synaptic transmission; neuron-neuron synaptic transmission; regulation of synaptic transmission, GABAergic; regulation of synaptic transmission, GABAergic; regulation of long-term neuronal synaptic plasticity; regulation of synaptic transmission; regulation of dopamine uptake involved in synaptic transmission; positive regulation of dopamine uptake involved in synaptic transmission; negative regulation of synaptic transmission, glutamatergic	dopamine neurotransmitter receptor activity, coupled via Gi/Go; synaptic transmission, dopaminergic; synaptic transmission, dopaminergic; dopamine neurotransmitter receptor activity; synapse assembly; postsynaptic density; synaptic vesicle membrane; regulation of synaptic transmission
DRD3	Drd3	Drd3	dopamine neurotransmitter receptor activity, coupled via Gi/Go	dopamine neurotransmitter receptor activity, coupled via Gi/Go; synaptic transmission	dopamine neurotransmitter receptor activity, coupled via Gi/Go; synaptic transmission, dopaminergic; dopamine neurotransmitter receptor activity
DRD4	Drd4	Drd4	dopamine neurotransmitter receptor activity, coupled via Gi/Go; dopamine neurotransmitter receptor activity	dopamine neurotransmitter receptor activity, coupled via Gi/Go; regulation of inhibitory postsynaptic membrane potential	dopamine neurotransmitter receptor activity, coupled via Gi/Go; synaptic transmission, dopaminergic; synaptic transmission, dopaminergic; terminal bouton; regulation of neurotransmitter secretion; regulation of synaptic transmission; positive regulation of excitatory postsynaptic membrane potential
DRD5	Drd5	Drd5	dopamine neurotransmitter receptor activity	dopamine neurotransmitter receptor activity, coupled via Gs; dopamine neurotransmitter receptor activity, coupled via Gs; synaptic transmission; long term synaptic depression	dopamine neurotransmitter receptor activity, coupled via Gs; synaptic transmission, dopaminergic; dopamine neurotransmitter receptor activity; regulation of long-term neuronal synaptic plasticity
DTNA	Dtna	Dtna		synapse	
DTNB	Dtnb	Dtnb		synapse	
DTNBP1	Dtnbp1	Dtnbp1	postsynaptic density; synaptic vesicle membrane	positive regulation of neurotransmitter secretion; postsynaptic density; synaptic vesicle membrane; anterograde synaptic vesicle transport	synaptic vesicle membrane
DVL1	Dvl1	Dvl1		synapse	
EDN1	Edn1	Edn1		rhythmic excitation	
EGR3	Egr3	Egr3		neuromuscular synaptic transmission	
ELFN1	Elfn1	Elfn1		excitatory synapse	
EPB41L1	Epb41l1	Epb4.1l1		neuronal postsynaptic density	synaptic membrane
EPB41L1	LOC100911769	Epb4.1l1		neuronal postsynaptic density	
EPHA5	Epha5	Epha5		negative regulation of synapse assembly	
EPHB1	Ephb1	Ephb1		positive regulation of synapse assembly	
EPHB2	Ephb2	Ephb2		regulation of neuronal synaptic plasticity; positive regulation of long-term neuronal synaptic plasticity; positive regulation of synapse assembly; positive regulation of synapse assembly	
EPHB3	Ephb3	Ephb3		positive regulation of synapse assembly	
EPS8	Eps8	Eps8		postsynaptic density; synapse	
ERC1	Erc1	Erc1		synapse	
ERC2	Erc2	Erc2		synapse	postsynaptic density; presynaptic membrane; terminal bouton
ETV5	Etv5	Etv5		neuromuscular synaptic transmission	
